scheduler,rep,gang,app,size,ranks,final_status,pending_s,startup_s,apprun_s,total_s,assembly_span_s,run_s,worker_idle_node_s,placed_after_s,done_after_s,created_at,scheduled_at,ready_at,first_running_at,gang_up_at,app_start_at,app_end_at,nodes,node_layout
default,1,lammps-n4-3e7398,lammps,4,32,done,346.0,12.0,147.0,385.0,120.0,27.0,152.0,350.91,389.91,2026-07-01T14:37:18+00:00,2026-07-01T14:43:04+00:00,2026-07-01T14:43:16+00:00,2026-07-01T14:41:16+00:00,2026-07-01T14:43:16+00:00,2026-07-01T14:41:16+00:00,2026-07-01T14:43:43+00:00,4,"{""gke-fluence-gang-default-pool-014898e6-775d"": 1, ""gke-fluence-gang-default-pool-014898e6-xshv"": 1, ""gke-fluence-gang-default-pool-014898e6-3b1g"": 1, ""gke-fluence-gang-default-pool-014898e6-8rjt"": 1}"
default,1,qmcpack-n2-6a2805,qmcpack,2,16,done,322.0,12.0,99.0,340.0,93.0,6.0,93.0,326.91,344.91,2026-07-01T14:37:18+00:00,2026-07-01T14:42:40+00:00,2026-07-01T14:42:52+00:00,2026-07-01T14:41:19+00:00,2026-07-01T14:42:52+00:00,2026-07-01T14:41:19+00:00,2026-07-01T14:42:58+00:00,2,"{""gke-fluence-gang-default-pool-014898e6-3b1g"": 1, ""gke-fluence-gang-default-pool-014898e6-8rjt"": 1}"
default,1,lammps-n2-52738c,lammps,2,16,done,385.0,11.0,45.0,439.0,2.0,43.0,2.0,391.91,445.91,2026-07-01T14:37:20+00:00,2026-07-01T14:43:45+00:00,2026-07-01T14:43:56+00:00,2026-07-01T14:43:54+00:00,2026-07-01T14:43:56+00:00,2026-07-01T14:43:54+00:00,2026-07-01T14:44:39+00:00,2,"{""gke-fluence-gang-default-pool-014898e6-xshv"": 1, ""gke-fluence-gang-default-pool-014898e6-8rjt"": 1}"
fluence,1,amg-n1-f4b104,amg,1,8,done,0.0,9.0,79.0,88.0,0.0,79.0,0.0,0.5,88.5,2026-07-01T14:51:04+00:00,2026-07-01T14:51:04+00:00,2026-07-01T14:51:13+00:00,2026-07-01T14:51:13+00:00,2026-07-01T14:51:13+00:00,2026-07-01T14:51:13+00:00,2026-07-01T14:52:32+00:00,1,"{""gke-fluence-gang-default-pool-014898e6-xshv"": 1}"
fluence,1,lammps-n1-476797,lammps,1,8,done,1.0,10.0,74.0,85.0,0.0,74.0,0.0,1.5,85.5,2026-07-01T14:51:04+00:00,2026-07-01T14:51:05+00:00,2026-07-01T14:51:15+00:00,2026-07-01T14:51:15+00:00,2026-07-01T14:51:15+00:00,2026-07-01T14:51:15+00:00,2026-07-01T14:52:29+00:00,1,"{""gke-fluence-gang-default-pool-014898e6-8rjt"": 1}"
fluence,1,qmcpack-n4-611aee,qmcpack,4,32,done,228.0,11.0,12.0,250.0,1.0,11.0,2.0,229.5,251.5,2026-07-01T14:51:05+00:00,2026-07-01T14:54:53+00:00,2026-07-01T14:55:04+00:00,2026-07-01T14:55:03+00:00,2026-07-01T14:55:04+00:00,2026-07-01T14:55:03+00:00,2026-07-01T14:55:15+00:00,4,"{""gke-fluence-gang-default-pool-014898e6-775d"": 1, ""gke-fluence-gang-default-pool-014898e6-8rjt"": 1, ""gke-fluence-gang-default-pool-014898e6-xshv"": 1, ""gke-fluence-gang-default-pool-014898e6-3b1g"": 1}"
fluence,1,qmcpack-n1-90c975,qmcpack,1,8,done,1.0,9.0,7.0,17.0,0.0,7.0,0.0,2.5,18.5,2026-07-01T14:51:05+00:00,2026-07-01T14:51:06+00:00,2026-07-01T14:51:15+00:00,2026-07-01T14:51:15+00:00,2026-07-01T14:51:15+00:00,2026-07-01T14:51:15+00:00,2026-07-01T14:51:22+00:00,1,"{""gke-fluence-gang-default-pool-014898e6-775d"": 1}"
fluence,1,amg-n4-d4dbf2,amg,4,32,done,256.0,11.0,90.0,356.0,1.0,89.0,3.0,258.5,358.5,2026-07-01T14:51:06+00:00,2026-07-01T14:55:22+00:00,2026-07-01T14:55:33+00:00,2026-07-01T14:55:32+00:00,2026-07-01T14:55:33+00:00,2026-07-01T14:55:32+00:00,2026-07-01T14:57:02+00:00,4,"{""gke-fluence-gang-default-pool-014898e6-8rjt"": 1, ""gke-fluence-gang-default-pool-014898e6-775d"": 1, ""gke-fluence-gang-default-pool-014898e6-xshv"": 1, ""gke-fluence-gang-default-pool-014898e6-3b1g"": 1}"
fluence,1,lammps-n4-1fbba1,lammps,4,32,done,184.0,11.0,29.0,223.0,1.0,28.0,3.0,187.5,226.5,2026-07-01T14:51:07+00:00,2026-07-01T14:54:11+00:00,2026-07-01T14:54:22+00:00,2026-07-01T14:54:21+00:00,2026-07-01T14:54:22+00:00,2026-07-01T14:54:21+00:00,2026-07-01T14:54:50+00:00,4,"{""gke-fluence-gang-default-pool-014898e6-8rjt"": 1, ""gke-fluence-gang-default-pool-014898e6-775d"": 1, ""gke-fluence-gang-default-pool-014898e6-xshv"": 1, ""gke-fluence-gang-default-pool-014898e6-3b1g"": 1}"
fluence,1,amg-n2-f1dde7,amg,2,16,done,84.0,11.0,86.0,180.0,1.0,85.0,1.0,89.5,185.5,2026-07-01T14:51:09+00:00,2026-07-01T14:52:33+00:00,2026-07-01T14:52:44+00:00,2026-07-01T14:52:43+00:00,2026-07-01T14:52:44+00:00,2026-07-01T14:52:43+00:00,2026-07-01T14:54:09+00:00,2,"{""gke-fluence-gang-default-pool-014898e6-8rjt"": 1, ""gke-fluence-gang-default-pool-014898e6-xshv"": 1}"
fluence,1,qmcpack-n2-c61b77,qmcpack,2,16,done,76.0,12.0,10.0,95.0,3.0,7.0,3.0,81.5,100.5,2026-07-01T14:51:09+00:00,2026-07-01T14:52:25+00:00,2026-07-01T14:52:37+00:00,2026-07-01T14:52:34+00:00,2026-07-01T14:52:37+00:00,2026-07-01T14:52:34+00:00,2026-07-01T14:52:44+00:00,2,"{""gke-fluence-gang-default-pool-014898e6-775d"": 1, ""gke-fluence-gang-default-pool-014898e6-3b1g"": 1}"
fluence,1,lammps-n2-40da75,lammps,2,16,done,19.0,11.0,45.0,74.0,1.0,44.0,1.0,24.5,79.5,2026-07-01T14:51:09+00:00,2026-07-01T14:51:28+00:00,2026-07-01T14:51:39+00:00,2026-07-01T14:51:38+00:00,2026-07-01T14:51:39+00:00,2026-07-01T14:51:38+00:00,2026-07-01T14:52:23+00:00,2,"{""gke-fluence-gang-default-pool-014898e6-775d"": 1, ""gke-fluence-gang-default-pool-014898e6-3b1g"": 1}"
